name,email,phone,website,address,city,country
"ALTERNA INVERSIONES Y VALORES, S.G.I.I.C., S.A.",info@alternainversiones.com,,https://alternainversiones.com,"C/ MARQUÉS DE LA ENSENADA, 4 planta 2ª - 28004 MADRID, 28004, MADRID",MADRID,ES
"ALTEX ASSET MANAGEMENT SGIIC, S.A.",info@altex-am.com,+34 961 227 107,https://altex-am.com,"PASEO DE LA CASTELLANA 101 BAJO 2 - 28046 MADRID, 28046, MADRID",MADRID,ES
"AMCHOR INVESTMENT STRATEGIES, SGIIC, S.A.",info-sgiic@amchor.es,+34 917004777,https://amchor.es,"CALLE VELÁZQUEZ, 166 - 28002 MADRID, 28002, MADRID",MADRID,ES
"AMISTRA, SGIIC, S.A.",atencionclientes@amistra.es,,https://amistra.es,"LUCHANA, 6 - 48008 BILBAO, 48008, BILBAO",BILBAO,ES
"ANTA ASSET MANAGEMENT SGIIC, SOCIEDAD ANÓNIMA",info@anta-am.com,,https://www.anta-am.com,"C/ZURBANO, 46 LOCAL - 28010 MADRID, 28010, MADRID",MADRID,ES
"ARCANO CAPITAL, SGIIC, S.A.",,+34 944 149 025,https://www.arcanopartners.com,"C/ JOSÉ ORTEGA Y GASSET, 29 - 4ª - 28006 MADRID, 28006, MADRID",MADRID,ES
"ARQUIGEST, S.A., S.G.I.I.C.",info@arquigest.es,,,"CALLE BARQUILLO 6, PRIMERO IZQUIERDA - 28004 MADRID, 28004, MADRID",MADRID,ES
"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.",madrid@atlcapital.es,,https://www.atlcapital.es,"MONTALBAN 9 - 28014 MADRID, 28014, MADRID",MADRID,ES
"ATTITUDE GESTION, SGIIC, S.A.",info@attitudegestion.com,+34 915 625 536,https://www.attitudegestion.com,"CALLE ORENSE, 68 PLANTA 11 - 28020 MADRID, 28020, MADRID",MADRID,ES
"AUGUSTUS CAPITAL ASSET MANAGEMENT, SGIIC, S.A.",,+34 976 220 651,https://augustuscapital.es,"PLAZA DE ARAGÓN, 10 - 10º - 50004 ZARAGOZA, 50004, ZARAGOZA",ZARAGOZA,ES
"AZORA GESTION, SGIIC, S.A.",info@azora.es,+34 913106370,https://www.azora.com,"C/ VILLANUEVA 2 C, ESC. 1, PLANTA. 1, PUERTA 7 A - 28001 MADRID, 28001, MADRID",MADRID,ES
"BEKA ASSET MANAGEMENT, SGIIC, S.A.",originaciondeuda@bekafinance.com,+34 914367800,https://www.bekafinance.com,"Calle Serrano 88, planta 7ª - 28006 Madrid, 28006, MADRID",MADRID,ES
"BESTINVER GESTION, S.A., S.G.I.I.C.",bestinver@bestinver.es,+34 900 878 280,https://www.bestinver.es,"JUAN DE MENA, 8, 1º DCHA. - 28014 MADRID, 28014, MADRID",MADRID,ES
"BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.",brightgate@brightgatecapital.com,+34 91 441 001,https://brightgatecapital.com,"C/ Génova, 11; 4ª planta izquierda. - 28004 MADRID, 28004, MADRID",MADRID,ES
"BUY & HOLD CAPITAL, SGIIC, S.A.",sac@buyandhold.es,,https://www.buyandhold.es,"C/ CULTURA 1-1 - 46002 VALENCIA, 46002, VALENCIA",VALENCIA,ES
"CAAN ALTERNATIVE ASSET MANAGEMENT, SGIIC, S.A.",info@caan.es,,https://www.caan.es,"AVDA. DIAGONAL, 644 - 08017 BARCELONA, 08017, BARCELONA",BARCELONA,ES
"CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.",,+34 933 102 626,https://www.caixaenginyers.com,"RAMBLA CATALUNYA, 2-4 - 08007 BARCELONA, 08007, BARCELONA",BARCELONA,ES
"CAJA LABORAL GESTION, S.G.I.I.C., S.A.",sonia.delolmo@laboralkutxa.com,+34 943 779 909,https://www.laboralkutxa.com,"Pº JOSE Mª ARIZMENDIARRIETA, 5, 1ª - 20500 MONDRAGON, 20500, MONDRAGON",MONDRAGON,ES
"CARTESIO INVERSIONES, SGIIC, S.A.",info@cartesio.com,,https://cartesio.com,"GLORIETA DE RUBÉN DARÍO 3, 5ª PLANTA - 28010 MADRID, 28010, MADRID",MADRID,ES
"CBNK GESTION DE ACTIVOS, S.G.I.I.C., S.A.",atencionalcliente@cbnk.es,,https://cbnk.es,"ALMAGRO 8, PLANTA 5ª - 28010 MADRID, 28010, MADRID",MADRID,ES
"CRESCENTA INVESTMENTS, SGIIC, S.A.",info@crescentainvestments.com,,https://crescentainvestments.com,"PASEO DE LA CASTELLANA NÚMERO 163, PLANTA 3ª - 28046 MADRID, 28046, MADRID",MADRID,ES
"DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.",atencion.clientes@db.com,+34 900 501 422,https://japan.db.com,"Pº DE LA CASTELLANA, 18 - 28046 MADRID, 28046, MADRID",MADRID,ES
"DIAGONAL ASSET MANAGEMENT SGIIC, S.A.",info@diagonalam.com,,https://www.diagonalam.com,"AVENIDA DIAGONAL, Nº 467, 2º 2 - 08036 BARCELONA, 08036, BARCELONA",BARCELONA,ES
"DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.",info@dunascapital.com,,https://www.dunascapital.com,"FERNANFLOR, 4, 4ª PLANTA - 28014 MADRID, 28014, MADRID",MADRID,ES
"DUX INVERSORES, SGIIC, S.A.",info@duxinversores.com,,https://www.duxinversores.com,"PLAZA DE LA INDEPENDENCIA, 6 - 28001 MADRID, 28001, MADRID",MADRID,ES
"EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.",,,https://www.edmgestion.com,"PASEO DE LA CASTELLANA, 78 - 28046 MADRID, 28046, MADRID",MADRID,ES
FINLETIC CAPITAL SGIIC SA.,contacto@finletic.com,,https://www.finletic.com,"C/ MIGUEL ANGEL 21, 6ª PLANTA - 28010 MADRID, 28010, MADRID",MADRID,ES
"G.I.I.C. FINECO, S.A., S.G.I.I.C.",comercial@fineco.com,,https://www.fineco.com,"Calle Ercilla, nº 24, 2º - 48011 BILBAO, 48011, BILBAO",BILBAO,ES
"GESALCALA, S.A., S.G.I.I.C.",balca@nauta.es,,https://creand.es,"ORTEGA Y GASSET, 7 - 28006 MADRID, 28006, MADRID",MADRID,ES
"GESBUSA, S.A., S.G.I.I.C.",contacto@imantia.com,,https://www.gesbusa.es,"ALFONSO XII, 22 PISO BAJO DERECHA - 28014 MADRID, 28014, MADRID",MADRID,ES
"GESCONSULT, S.A., S.G.I.I.C.",fondos@gesconsult.es,,https://gesconsult.com,"Calle Serrano, número 37 - 28001 MADRID, 28001, MADRID",MADRID,ES
"GESCOOPERATIVO, S.A., S.G.I.I.C.",atencion.cliente.gescooperativo@bce.cajarural.com,,https://www.gescooperativo.es,"Paseo de Recoletos, nº 3, 3ª Planta - 28004 Madrid, 28004, MADRID",MADRID,ES
"GESINTER, S.G.I.I.C., S.A.",info@gesinter.com,,https://www.gesinter.com,"ANGLI, 58 - 08017 BARCELONA, 08017, BARCELONA",BARCELONA,ES
"GESNORTE, S.A., S.G.I.I.C.",info@dunascapital.com,,,"Plaza de las Cortes, número 2, 4ª planta - 28014 MADRID, 28014, MADRID",MADRID,ES
"GESPROFIT, S.A., S.G.I.I.C.",profit@profitgestion.es,,https://www.gesprofit.es,"SERRANO, 67 - 28006 MADRID, 28006, MADRID",MADRID,ES
"GINVEST ASSET MANAGEMENT, SGIIC, S.A.",info@ginvest.es,,https://ginvest.es,"CERVERI, 16, 1ª PLANTA - 17001 GIRONA, 17001, GIRONA",GIRONA,ES
"GLOBAL SOCIAL IMPACT INVESTMENTS SGIIC, S.A.",info@gsi-capital.com,,https://www.gsi-capital.com,"Paseo de la Castellana 53, 2ª planta - 28046 Madrid, 28046, MADRID",MADRID,ES
"GREENSIDE ASSET MANAGEMENT SGIIC, S.A.",info@greensideam.com,,https://www.greensideam.com,"C/ RAFAEL CALVO, 42. ESC. IZQUIERDA.1º IZQ. - 28010 MADRID, 28010, MADRID",MADRID,ES
"GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC",fondos@segurosbilbao.com,,,"CALLE MÉNDEZ ÁLVARO, Nº31 - 28045 MADRID, 28045, MADRID",MADRID,ES
"HAMCO AM, SGIIC, S.A.",info@hamcoam.com,,https://www.hamcoam.com,"Paseo de la Castellana 141, 19ª Planta - 28046 Madrid, 28046, MADRID",MADRID,ES
"IMPACT BRIDGE ASSET MANAGEMENT SGIIC, S.A.",info@impactbridgeassetmanagement.com,,https://www.impactbridgeassetmanagement.com,"CALLE VIRGEN MARÍA, 5, ESC. 3 - 2A - 28007 MADRID, 28007, MADRID",MADRID,ES
"INTERMONEY GESTION, S.G.I.I.C., S.A.",atencionalcliente@grupocimd.com,,https://www.imgestion.com,"C/ PRINCIPE DE VERGARA, 131, PLANTA 3ª - 28002 MADRID, 28002, MADRID",MADRID,ES
"JULIUS BAER GESTION, SGIIC, S.A.",john.smith@juliusbaer.com,,https://www.juliusbaer.com,"PASEO DE LA CASTELLANA, 7 PLANTA 2ª - 28046 MADRID, 28046, MADRID",MADRID,ES
"LORETO INVERSIONES, SGIIC, SA",info@loretoinversiones.com,,https://www.loretoinversiones.com,"PASEO DE LA CASTELLANA, Nº 40, 5ª PLANTA - 28046 MADRID, 28046, MADRID",MADRID,ES
"MACROFLOW PARTNERS SGIIC, S.L.",info@macroflowpartners.com,,,"CALLE JOSÉ LÁZARO GALDIANO, 4. PLANTA 7ª - Dcha. - 28036 MADRID, 28036, MADRID",MADRID,ES
"MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.",atencion_cliente@bancamarch.es,,https://www.march-am.com,"C/ CASTELLÓ, 74 - 28006 MADRID, 28006, MADRID",MADRID,ES
"MARKET PORTFOLIO ASSET MANAGEMENT, S.G.I.I.C., S.A.",info@marketportfolioam.com,,https://marketportfolioam.com,"CALLE ALMAGRO, 26. ENTREPLANTA IZQUIERDA - 28010 MADRID, 28010, MADRID",MADRID,ES
"MDEF GESTEFIN, S.A.U., SGIIC (SOCIEDAD UNIPERSONAL)",,,,"SERRANO, 1, 3º DERECHA - 28001 MADRID, 28001, MADRID",MADRID,ES
"METAGESTION, S.A., SGIIC",info@metagestion.com,,,"Calle Orense, número 20, planta 1ª, oficina 13 - 28020 Madrid, 28020, MADRID",MADRID,ES
"MIRALTA ASSET MANAGEMENT SGIIC, SAU",nalcliente.em@enemalta.com.mt,+34 910 888 090,https://www.miraltabank.com,"PZA DE MANUEL GOMEZ MORENO, 2 E. PUERTA 1, 2A PLANTA - 28020 MADRID, 28020, MADRID",MADRID,ES
"MUZA GESTIÓN DE ACTIVOS, SGIIC, S.A.",info@muzagestion.com,+34 911 634 812,https://muzagestion.com,"CASTELLÓ, 128 9º - 28006 MADRID, 28006, MADRID",MADRID,ES
"NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.",Info@nao-sam.com,+34 960 454 015,https://www.nao-sam.com,"Plaza del Ayuntamiento núm. 27, 7ª planta - 46002 Valencia, 46002, VALENCIA",VALENCIA,ES
"OLEA GESTION DE ACTIVOS, SGIIC, S.A.",,,https://oleagestion.com,"C/ VELAZQUEZ 76 - 1º DERECHA - 28001 MADRID, 28001, MADRID",MADRID,ES
"OMEGA GESTION DE INVERSIONES, SGIIC, S.A.",,+34 917 027 994,https://www.omegagestion.com,"PS. DE LA CASTELLANA 28 - 28046 MADRID, 28046, MADRID",MADRID,ES
"PACTIO GESTION, SGIIC, S.A.",ediaz@cgrande.com,+34 900 878 280,https://www.bestinver.es,"RAFAEL CALVO, 39 - 28010 MADRID, 28010, MADRID",MADRID,ES
"PANZA CAPITAL, SGIIC, S.A.",info@panzacapital.com,+34 911 177 623,https://www.panzacapital.com,"C/ SERRANO 45, PLANTA 4ª - 28001 MADRID, 28001, MADRID",MADRID,ES
"PATRIVALOR, SGIIC, S.A.",mail@patrivalor.com,,https://patrivalor.com,"PASEO DE LA CASTELLANA, 12 - 2º D - 28046 MADRID, 28046, MADRID",MADRID,ES
"PRISMA GLOBAL ASSET MANAGEMENT, SGIIC, S.A.",informacion@merchbanc.es,,,"TELLEZ, 30, OFICINA 2-2 - 28007 MADRID, 28007, MADRID",MADRID,ES
"PROALTUS CAPITAL AM SGIIC, S.A.",info@proaltuscapital.com,,https://www.proaltuscapital.com,"Calle Alvaro Caballero 14 planta 1-P - 28023 Madrid, 28023, MADRID",MADRID,ES
"QUADRIGA ASSET MANAGERS, SGIIC, S.A.",info@quadrigafunds.com,,https://www.quadrigafunds.es,"CUESTA DEL SAGRADO CORAZON, 6-8 - 28016 MADRID, 28016, MADRID",MADRID,ES
"RENTA 4 GESTORA, S.G.I.I.C., S.A.",clientes@renta4.es,,https://www.r4.com,"Pº DE LA HABANA, 74, 2º IZDA. - 28036 MADRID, 28036, MADRID",MADRID,ES
"RIVA Y GARCIA GESTION, S.G.I.I.C., S.A.",serviciodereclamacionesCNMV@cnmv.es,,https://www.rivaygarcia.es,"PELAI 56, 3º 4ª - 08001 BARCELONA, 08001, BARCELONA",BARCELONA,ES
"ROLNIK CAPITAL OWNERS, SGIIC, S.A.",Atencion.Cliente@rolnik.es,+34 696 362 169,https://rolnik.es,"Plaza de Alonso Martínez, 7 - 1º izquierda - 28004 Madrid, 28004, MADRID",MADRID,ES
"SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.",info@bancsabadell.com,,https://www.sabadellam.com,"PASEO DE LA CASTELLANA, 1 - 28046 MADRID, 28046, MADRID",MADRID,ES
"SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.",atencion@santalucia.es,,https://www.santaluciaam.es,"PLAZA DE ESPAÑA 15 - 28008 MADRID, 28008, MADRID",MADRID,ES
"SANTANDER ALTERNATIVE INVESTMENTS, SGIIC, S.A.U.",contacto@santanderai.com,,https://www.santanderassetmanagement.com,"PASEO DE LA CASTELLANA 24 - 28046 MADRID, 28046, MADRID",MADRID,ES
"SANTANDER PRIVATE BANKING GESTIÓN, S.A., S.G.I.I.C.",miexperiencia@qemailserver.com,,https://www.santanderassetmanagement.com,"C/ JUAN IGNACIO LUCA DE TENA, 9-11 - 28027 MADRID, 28027, MADRID",MADRID,ES
"SASSOLA PARTNERS, SGIIC, S.A.",info@sassola.es,,https://www.sassola.es,"CALLE ALMAGRO Nº26, ESC IZQ, PLANTA 1ºB - 28010 MADRID, 28010, MADRID",MADRID,ES
"SELECCION E INVERSION DE CAPITAL GLOBAL, SGIIC, S.A.",info@sicglobal.es,,,"C/ DEL SIL 50, BAJO - 28002 MADRID, 28002, MADRID",MADRID,ES
"SILVER ALPHA ASSET MANAGEMENT SGIIC, S.A.",info@silveralpha.es,,https://www.silveralpha.es,"AVENIDA DE CONCHA ESPINA 8, 1 IZQUIERDA - 28036 MADRID, 28036, MADRID",MADRID,ES
"SINGULAR ASSET MANAGEMENT, SGIIC, S.A.",info@singularam.es,,https://www.singularam.es,"CALLE GOYA 11 - 28001 MADRID, 28001, MADRID",MADRID,ES
"SOLVENTIS S.G.I.I.C., S.A.",atencioncliente@solventis.es,+34 932 009 578,https://solventis.es,"PASEO CASTELLANA 60, 4ª PLANTA DERECHA - 28046 MADRID, 28046, MADRID",MADRID,ES
"TALENTA GESTION, SGIIC, S.A.",info@talentagestion.com,+34 912 901 887,https://www.talentagestion.com,"PASSATGE DE LA CONCEPCIO, 7-9, PRIMER PISO - 08008 BARCELONA, 08008, BARCELONA",BARCELONA,ES
"TESYS ACTIVOS FINANCIEROS SGIIC, SOCIEDAD LIMITADA",info@tesys.es,,,"Paseo de la Habana, nº 15, 3º Izq. - 28036 MADRID, 28036, MADRID",MADRID,ES
"TREA ASSET MANAGEMENT S.G.I.I.C., S.A.",treainfo@treaam.com,,https://www.trea-am.com,"ORTEGA Y GASSET, 20 - 28006 MADRID, 28006, MADRID",MADRID,ES
"TRESSIS GESTION, S.G.I.I.C., S.A.",tressis@tressis.com,,https://www.tressis.com,"Calle Jorge Manrique Nº 12 - 28006 Madrid, 28006, MADRID",MADRID,ES
"TRUE VALUE INVESTMENTS, SGIIC, S.A.",,,https://truevalue.es,"Calle Serrano,111. Bajo izquierda - 28001 Madrid, 28001, MADRID",MADRID,ES
"UBS WEALTH MANAGEMENT, S.G.I.I.C., S.A.",departamento.atencion-cliente@ubs.com,,https://www.ubs.com,"AYALA, 42, 5ª PLANTA-A - 28001 MADRID, 28001, MADRID",MADRID,ES
"UNICAJA ASSET MANAGEMENT, S.G.I.I.C., S.A.",atencion.al.cliente@unicaja.es,,https://www.unicaja.es,"AVENIDA DE ANDALUCIA, 10-12 - 29007 MALAGA, 29007, MALAGA",MALAGA,ES
"URQUIJO GESTION, S.A., S.G.I.I.C., SOCIEDAD UNIPERSONAL",SAC@bancsabadell.com,,,"SERRANO, 71, 1ª - 28006 MADRID, 28006, MADRID",MADRID,ES
"VALENTUM ASSET MANAGEMENT, SGIIC, S.A.",areadecliente@valentum.es,,https://valentum.es,"CALLE CASTELLO 128, 9ª PLANTA - 28006 MADRID, 28006, MADRID",MADRID,ES
"VARIANZA GESTION, SGIIC, S.A.",dpo@varianza.com,,https://www.varianza.com,"CALLE ZURBANO 23 1º IZQUIERDA - 28010 MADRID, 28010, MADRID",MADRID,ES
"WELCOME ASSET MANAGEMENT, SGIIC, S.A.",info@welcome-am.com,+34917829206,https://welcome-am.com,"PASEO DE LA CASTELLANA, 110, 4ª PLANTA - 28046 MADRID, 28046, MADRID",MADRID,ES
"WELZIA MANAGEMENT, SGIIC, S.A.",info@welzia.com,,https://wz.welzia.com,"CONDE DE ARANDA, 24 - 4ª PL - 28001 MADRID, 28001, MADRID",MADRID,ES
"WHITEHOLE INVESTMENT PARTNERS, SGIIC, S.A.",info@whiteholecapital.es,,https://www.whiteholecapital.es,"PLAZA EUSKADI 5 TORRE IBERDROLA, PLANTA 20 - 48009 VIZCAYA, 48009, VIZCAYA",VIZCAYA,ES
