name,email,phone,website,address,city,postal_code,country,country_code,category,type,register_number,aum,aum_date,tier,notes,pipeline_stage
"ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.",,,https://www.andbank.es,"CALLE SERRANO, 37",MADRID,28001,Espagne,ES,SGIIC,fournisseur,237,1.2,2024-12-31,Tier 1,Tier 1. AUM: 1.2 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 237,prospect
"GESIURIS ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.gesiuris.com,"Rambla de Cataluña 38, 9ª Planta",BARCELONA,08007,Espagne,ES,SGIIC,fournisseur,37,0.95,2024-12-31,Tier 2,Tier 2. AUM: 0.9 Bn€ (2024-12-31). Source: INVERCO 2024. Registro CNMV: 37,prospect
"A&G FONDOS, SGIIC, SA",,,,"PASEO DE LA CASTELLANA, 92",MADRID,28046,Espagne,ES,SGIIC,fournisseur,195,,,Tier 3,Tier 3. Registro CNMV: 195,prospect
"ABACO CAPITAL, SGIIC, S.A.",,,https://www.abaco.com,Paseo General Martínez Campos 47,MADRID,28010,Espagne,ES,SGIIC,fournisseur,238,,,Tier 3,Tier 3. Registro CNMV: 238,prospect
"ACACIA INVERSION, SGIIC, S.A.",,,https://www.acacia.com,"GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS",BILBAO,48009,Espagne,ES,SGIIC,fournisseur,234,,,Tier 3,Tier 3. Registro CNMV: 234,prospect
"ACCI CAPITAL INVESTMENTS, SGIIC, S.A.",,,https://www.acci.com,"MARQUES DE VILLAMEJOR, 5, PLANTA 1",MADRID,28006,Espagne,ES,SGIIC,fournisseur,253,,,Tier 3,Tier 3. Registro CNMV: 253,prospect
"ACTYUS PRIVATE EQUITY SGIIC, S.A.",,,https://www.actyus.com,"CALLE SERRANO, 37",MADRID,28001,Espagne,ES,SGIIC,fournisseur,286,,,Tier 3,Tier 3. Registro CNMV: 286,prospect
"AFI INVERSIONES GLOBALES, SGIIC, S.A.",,,,C/ MARQUES DE VILLAMEJOR 5,MADRID,28006,Espagne,ES,SGIIC,fournisseur,274,,,Tier 3,Tier 3. Registro CNMV: 274,prospect
"ALALUZ CAPITAL, SGIIC, S.A.",,,https://www.alaluz.com,"VILLANUEVA, 15 1ª PLANTA",MADRID,28001,Espagne,ES,SGIIC,fournisseur,254,,,Tier 3,Tier 3. Registro CNMV: 254,prospect
"ALANTRA EQMC ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.alantra.com,CALLE JOSE ORTEGA Y GASSET 29,MADRID,28006,Espagne,ES,SGIIC,fournisseur,260,,,Tier 3,Tier 3. Registro CNMV: 260,prospect
"ALANTRA MULTI ASSET, SGIIC, S.A.",,,https://www.alantra.com,CALLE JOSE ORTEGA Y GASSET 29,MADRID,28006,Espagne,ES,SGIIC,fournisseur,230,,,Tier 3,Tier 3. Registro CNMV: 230,prospect
"ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.",,,https://www.altamar.com,"Pº CASTELLANA, 91",MADRID,28046,Espagne,ES,SGIIC,fournisseur,247,,,Tier 3,Tier 3. Registro CNMV: 247,prospect
"ALTAN CAPITAL, SGIIC, S.A.",,,https://www.altan.com,"Paseo de la Castellana, 91",MADRID,28046,Espagne,ES,SGIIC,fournisseur,219,,,Tier 3,Tier 3. Registro CNMV: 219,prospect
"ALTERNA INVERSIONES Y VALORES, S.G.I.I.C., S.A.",,,https://www.alterna.com,"C/ MARQUÉS DE LA ENSENADA, 4 planta 2ª",MADRID,28004,Espagne,ES,SGIIC,fournisseur,282,,,Tier 3,Tier 3. Registro CNMV: 282,prospect
"ALTEX ASSET MANAGEMENT SGIIC, S.A.",,,https://www.altex.com,PASEO DE LA CASTELLANA 101 BAJO 2,MADRID,28046,Espagne,ES,SGIIC,fournisseur,215,,,Tier 3,Tier 3. Registro CNMV: 215,prospect
"AMCHOR INVESTMENT STRATEGIES, SGIIC, S.A.",,,https://www.amchor.com,"CALLE VELÁZQUEZ, 166",MADRID,28002,Espagne,ES,SGIIC,fournisseur,273,,,Tier 3,Tier 3. Registro CNMV: 273,prospect
"AMISTRA, SGIIC, S.A.",,,https://www.amistra.com,"LUCHANA, 6",BILBAO,48008,Espagne,ES,SGIIC,fournisseur,232,,,Tier 3,Tier 3. Registro CNMV: 232,prospect
"AMUNDI IBERIA, SGIIC, S.A.",,,https://www.amundi.es,"Pº DE LA CASTELLANA, 1",MADRID,28046,Espagne,ES,SGIIC,fournisseur,31,,,Tier 3,Tier 3. Registro CNMV: 31,prospect
"ANTA ASSET MANAGEMENT SGIIC, SOCIEDAD ANÓNIMA",,,https://www.anta.com,"C/ZURBANO, 46 LOCAL",MADRID,28010,Espagne,ES,SGIIC,fournisseur,288,,,Tier 3,Tier 3. Registro CNMV: 288,prospect
"ARCANO CAPITAL, SGIIC, S.A.",,,https://www.arcano.com,"C/ JOSÉ ORTEGA Y GASSET, 29 - 4ª",MADRID,28006,Espagne,ES,SGIIC,fournisseur,240,,,Tier 3,Tier 3. Registro CNMV: 240,prospect
"ARQUIGEST, S.A., S.G.I.I.C.",,,https://www.arquigest.com,"CALLE BARQUILLO 6, PRIMERO IZQUIERDA",MADRID,28004,Espagne,ES,SGIIC,fournisseur,36,,,Tier 3,Tier 3. Registro CNMV: 36,prospect
"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.",,,,MONTALBAN 9,MADRID,28014,Espagne,ES,SGIIC,fournisseur,210,,,Tier 3,Tier 3. Registro CNMV: 210,prospect
"ATTITUDE GESTION, SGIIC, S.A.",,,https://www.attitude.com,"CALLE ORENSE, 68 PLANTA 11",MADRID,28020,Espagne,ES,SGIIC,fournisseur,246,,,Tier 3,Tier 3. Registro CNMV: 246,prospect
"AUGUSTUS CAPITAL ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.augustus.com,"PLAZA DE ARAGÓN, 10 - 10º",ZARAGOZA,50004,Espagne,ES,SGIIC,fournisseur,270,,,Tier 3,Tier 3. Registro CNMV: 270,prospect
"AZORA GESTION, SGIIC, S.A.",,,https://www.azora.com,"C/ VILLANUEVA 2 C, ESC. 1, PLANTA. 1, PUERTA 7 A",MADRID,28001,Espagne,ES,SGIIC,fournisseur,236,,,Tier 3,Tier 3. Registro CNMV: 236,prospect
"BANKINTER GESTION DE ACTIVOS, S.A., S.G.I.I.C.",,,https://www.bankintergestiondeactivos.es,AVDA. DE BRUSELAS 12,ALCOBENDAS,28108,Espagne,ES,SGIIC,fournisseur,55,,,Tier 3,Tier 3. Registro CNMV: 55,prospect
"BBVA ASSET MANAGEMENT, S.A., SGIIC",,,https://www.bbvaassetmanagement.com,"Calle Azul, 4",MADRID,28050,Espagne,ES,SGIIC,fournisseur,14,,,Tier 3,Tier 3. Registro CNMV: 14,prospect
"BEKA ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.beka.com,"Calle Serrano 88, planta 7ª",MADRID,28006,Espagne,ES,SGIIC,fournisseur,268,,,Tier 3,Tier 3. Registro CNMV: 268,prospect
"BESTINVER GESTION, S.A., S.G.I.I.C.",,,https://www.bestinver.es,"JUAN DE MENA, 8, 1º DCHA.",MADRID,28014,Espagne,ES,SGIIC,fournisseur,103,,,Tier 3,Tier 3. Registro CNMV: 103,prospect
"BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.",,,https://www.brightgate.com,"C/ Génova, 11; 4ª planta izquierda.",MADRID,28004,Espagne,ES,SGIIC,fournisseur,226,,,Tier 3,Tier 3. Registro CNMV: 226,prospect
"BUY & HOLD CAPITAL, SGIIC, S.A.",,,,C/ CULTURA 1-1,VALENCIA,46002,Espagne,ES,SGIIC,fournisseur,256,,,Tier 3,Tier 3. Registro CNMV: 256,prospect
"CAAN ALTERNATIVE ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.caan.com,"AVDA. DIAGONAL, 644",BARCELONA,08017,Espagne,ES,SGIIC,fournisseur,294,,,Tier 3,Tier 3. Registro CNMV: 294,prospect
"CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.",,,https://www.caja.com,"RAMBLA CATALUNYA, 2-4",BARCELONA,08007,Espagne,ES,SGIIC,fournisseur,193,,,Tier 3,Tier 3. Registro CNMV: 193,prospect
"CAJA LABORAL GESTION, S.G.I.I.C., S.A.",,,https://www.caja.com,"Pº JOSE Mª ARIZMENDIARRIETA, 5, 1ª",MONDRAGON,20500,Espagne,ES,SGIIC,fournisseur,161,,,Tier 3,Tier 3. Registro CNMV: 161,prospect
"CARTESIO INVERSIONES, SGIIC, S.A.",,,https://www.cartesio.com,"GLORIETA DE RUBÉN DARÍO 3, 5ª PLANTA",MADRID,28010,Espagne,ES,SGIIC,fournisseur,221,,,Tier 3,Tier 3. Registro CNMV: 221,prospect
"CBNK GESTION DE ACTIVOS, S.G.I.I.C., S.A.",,,https://www.cbnk.com,"ALMAGRO 8, PLANTA 5ª",MADRID,28010,Espagne,ES,SGIIC,fournisseur,126,,,Tier 3,Tier 3. Registro CNMV: 126,prospect
"COBAS ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.cobasam.com,"Paseo de la Castellana, 53 2ª planta",MADRID,28046,Espagne,ES,SGIIC,fournisseur,251,,,Tier 3,Tier 3. Registro CNMV: 251,prospect
"CRESCENTA INVESTMENTS, SGIIC, S.A.",,,https://www.crescenta.com,"PASEO DE LA CASTELLANA NÚMERO 163, PLANTA 3ª",MADRID,28046,Espagne,ES,SGIIC,fournisseur,289,,,Tier 3,Tier 3. Registro CNMV: 289,prospect
"DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.",,,https://www.deutsche.com,"Pº DE LA CASTELLANA, 18",MADRID,28046,Espagne,ES,SGIIC,fournisseur,142,,,Tier 3,Tier 3. Registro CNMV: 142,prospect
"DIAGONAL ASSET MANAGEMENT SGIIC, S.A.",,,https://www.diagonal.com,"AVENIDA DIAGONAL, Nº 467, 2º 2",BARCELONA,08036,Espagne,ES,SGIIC,fournisseur,285,,,Tier 3,Tier 3. Registro CNMV: 285,prospect
"DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.",,,https://www.dunascapital.com,"FERNANFLOR, 4, 4ª PLANTA",MADRID,28014,Espagne,ES,SGIIC,fournisseur,98,,,Tier 3,Tier 3. Registro CNMV: 98,prospect
"DUX INVERSORES, SGIIC, S.A.",,,,"PLAZA DE LA INDEPENDENCIA, 6",MADRID,28001,Espagne,ES,SGIIC,fournisseur,206,,,Tier 3,Tier 3. Registro CNMV: 206,prospect
"EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.",,,https://www.edmgestion.com,"PASEO DE LA CASTELLANA, 78",MADRID,28046,Espagne,ES,SGIIC,fournisseur,49,,,Tier 3,Tier 3. Registro CNMV: 49,prospect
FINLETIC CAPITAL SGIIC SA.,,,https://www.finletic.com,"C/ MIGUEL ANGEL 21, 6ª PLANTA",MADRID,28010,Espagne,ES,SGIIC,fournisseur,257,,,Tier 3,Tier 3. Registro CNMV: 257,prospect
"G.I.I.C. FINECO, S.A., S.G.I.I.C.",,,,"Calle Ercilla, nº 24, 2º",BILBAO,48011,Espagne,ES,SGIIC,fournisseur,132,,,Tier 3,Tier 3. Registro CNMV: 132,prospect
"GESALCALA, S.A., S.G.I.I.C.",,,https://www.gesalcala.com,"ORTEGA Y GASSET, 7",MADRID,28006,Espagne,ES,SGIIC,fournisseur,137,,,Tier 3,Tier 3. Registro CNMV: 137,prospect
"GESBUSA, S.A., S.G.I.I.C.",,,https://www.gesbusa.com,"ALFONSO XII, 22 PISO BAJO DERECHA",MADRID,28014,Espagne,ES,SGIIC,fournisseur,133,,,Tier 3,Tier 3. Registro CNMV: 133,prospect
"GESCONSULT, S.A., S.G.I.I.C.",,,https://www.gesconsult.com,"Calle Serrano, número 37",MADRID,28001,Espagne,ES,SGIIC,fournisseur,57,,,Tier 3,Tier 3. Registro CNMV: 57,prospect
"GESCOOPERATIVO, S.A., S.G.I.I.C.",,,https://www.gescooperativo.com,"Paseo de Recoletos, nº 3, 3ª Planta",MADRID,28004,Espagne,ES,SGIIC,fournisseur,140,,,Tier 3,Tier 3. Registro CNMV: 140,prospect
"GESINTER, S.G.I.I.C., S.A.",,,https://www.gesinter.com,"ANGLI, 58",BARCELONA,08017,Espagne,ES,SGIIC,fournisseur,152,,,Tier 3,Tier 3. Registro CNMV: 152,prospect
"GESNORTE, S.A., S.G.I.I.C.",,,https://www.gesnorte.com,"Plaza de las Cortes, número 2, 4ª planta",MADRID,28014,Espagne,ES,SGIIC,fournisseur,9,,,Tier 3,Tier 3. Registro CNMV: 9,prospect
"GESPROFIT, S.A., S.G.I.I.C.",,,https://www.gesprofit.com,"SERRANO, 67",MADRID,28006,Espagne,ES,SGIIC,fournisseur,139,,,Tier 3,Tier 3. Registro CNMV: 139,prospect
"GINVEST ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.ginvest.com,"CERVERI, 16, 1ª PLANTA",GIRONA,17001,Espagne,ES,SGIIC,fournisseur,261,,,Tier 3,Tier 3. Registro CNMV: 261,prospect
"GLOBAL SOCIAL IMPACT INVESTMENTS SGIIC, S.A.",,,https://www.global.com,"Paseo de la Castellana 53, 2ª planta",MADRID,28046,Espagne,ES,SGIIC,fournisseur,279,,,Tier 3,Tier 3. Registro CNMV: 279,prospect
"GREENSIDE ASSET MANAGEMENT SGIIC, S.A.",,,https://www.greenside.com,"C/ RAFAEL CALVO, 42. ESC. IZQUIERDA.1º IZQ.",MADRID,28010,Espagne,ES,SGIIC,fournisseur,278,,,Tier 3,Tier 3. Registro CNMV: 278,prospect
"GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC",,,https://www.grupo.com,"CALLE MÉNDEZ ÁLVARO, Nº31",MADRID,28045,Espagne,ES,SGIIC,fournisseur,45,,,Tier 3,Tier 3. Registro CNMV: 45,prospect
"HAMCO AM, SGIIC, S.A.",,,https://www.hamco.com,"Paseo de la Castellana 141, 19ª Planta",MADRID,28046,Espagne,ES,SGIIC,fournisseur,293,,,Tier 3,Tier 3. Registro CNMV: 293,prospect
"HOROS ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.horosam.com,"CALLE NUÑEZ DE BALBOA 120, 2º IZQUIERDA",MADRID,28006,Espagne,ES,SGIIC,fournisseur,263,,,Tier 3,Tier 3. Registro CNMV: 263,prospect
"IMPACT BRIDGE ASSET MANAGEMENT SGIIC, S.A.",,,https://www.impact.com,"CALLE VIRGEN MARÍA, 5, ESC. 3 - 2A",MADRID,28007,Espagne,ES,SGIIC,fournisseur,281,,,Tier 3,Tier 3. Registro CNMV: 281,prospect
"INTERMONEY GESTION, S.G.I.I.C., S.A.",,,https://www.intermoney.com,"C/ PRINCIPE DE VERGARA, 131, PLANTA 3ª",MADRID,28002,Espagne,ES,SGIIC,fournisseur,69,,,Tier 3,Tier 3. Registro CNMV: 69,prospect
"INVERSIS GESTIÓN, S.A., SGIIC",,,https://www.inversis.com,"AVENIDA DE LA HISPANIDAD, 6",MADRID,28042,Espagne,ES,SGIIC,fournisseur,105,,,Tier 3,Tier 3. Registro CNMV: 105,prospect
"JULIUS BAER GESTION, SGIIC, S.A.",,,https://www.julius.com,"PASEO DE LA CASTELLANA, 7 PLANTA 2ª",MADRID,28046,Espagne,ES,SGIIC,fournisseur,229,,,Tier 3,Tier 3. Registro CNMV: 229,prospect
"LORETO INVERSIONES, SGIIC, SA",,,https://www.loreto.com,"PASEO DE LA CASTELLANA, Nº 40, 5ª PLANTA",MADRID,28046,Espagne,ES,SGIIC,fournisseur,264,,,Tier 3,Tier 3. Registro CNMV: 264,prospect
"MACROFLOW PARTNERS SGIIC, S.L.",,,https://www.macroflow.com,"CALLE JOSÉ LÁZARO GALDIANO, 4. PLANTA 7ª - Dcha.",MADRID,28036,Espagne,ES,SGIIC,fournisseur,295,,,Tier 3,Tier 3. Registro CNMV: 295,prospect
"MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.",,,https://www.march.com,"C/ CASTELLÓ, 74",MADRID,28006,Espagne,ES,SGIIC,fournisseur,190,,,Tier 3,Tier 3. Registro CNMV: 190,prospect
"MARKET PORTFOLIO ASSET MANAGEMENT, S.G.I.I.C., S.A.",,,https://www.market.com,"CALLE ALMAGRO, 26. ENTREPLANTA IZQUIERDA",MADRID,28010,Espagne,ES,SGIIC,fournisseur,269,,,Tier 3,Tier 3. Registro CNMV: 269,prospect
"MDEF GESTEFIN, S.A.U., SGIIC (SOCIEDAD UNIPERSONAL)",,,https://www.mdef.com,"SERRANO, 1, 3º DERECHA",MADRID,28001,Espagne,ES,SGIIC,fournisseur,46,,,Tier 3,Tier 3. Registro CNMV: 46,prospect
"MEDIOLANUM GESTION, S.G.I.I.C., S.A.",,,https://www.mediolanum.es,"C/ AGUSTINA SARAGOSSA, 3-5 BAJOS",BARCELONA,08017,Espagne,ES,SGIIC,fournisseur,2,,,Tier 3,Tier 3. Registro CNMV: 2,prospect
"METAGESTION, S.A., SGIIC",,,https://www.metagestion.com,"Calle Orense, número 20, planta 1ª, oficina 13",MADRID,28020,Espagne,ES,SGIIC,fournisseur,40,,,Tier 3,Tier 3. Registro CNMV: 40,prospect
"MIRALTA ASSET MANAGEMENT SGIIC, SAU",,,https://www.miralta.com,"PZA DE MANUEL GOMEZ MORENO, 2 E. PUERTA 1, 2A PLANTA",MADRID,28020,Espagne,ES,SGIIC,fournisseur,252,,,Tier 3,Tier 3. Registro CNMV: 252,prospect
"MUTUACTIVOS, S.A., S.G.I.I.C.",,,https://www.mutuactivos.com,PASEO CASTELLANA 33,MADRID,28046,Espagne,ES,SGIIC,fournisseur,21,,,Tier 3,Tier 3. Registro CNMV: 21,prospect
"MUZA GESTIÓN DE ACTIVOS, SGIIC, S.A.",,,https://www.muza.com,"CASTELLÓ, 128 9º",MADRID,28006,Espagne,ES,SGIIC,fournisseur,265,,,Tier 3,Tier 3. Registro CNMV: 265,prospect
"NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.",,,,"Plaza del Ayuntamiento núm. 27, 7ª planta",VALENCIA,46002,Espagne,ES,SGIIC,fournisseur,267,,,Tier 3,Tier 3. Registro CNMV: 267,prospect
"OLEA GESTION DE ACTIVOS, SGIIC, S.A.",,,https://www.olea.com,C/ VELAZQUEZ 76 - 1º DERECHA,MADRID,28001,Espagne,ES,SGIIC,fournisseur,277,,,Tier 3,Tier 3. Registro CNMV: 277,prospect
"OMEGA GESTION DE INVERSIONES, SGIIC, S.A.",,,https://www.omega.com,PS. DE LA CASTELLANA 28,MADRID,28046,Espagne,ES,SGIIC,fournisseur,220,,,Tier 3,Tier 3. Registro CNMV: 220,prospect
"PACTIO GESTION, SGIIC, S.A.",,,https://www.pactio.com,"RAFAEL CALVO, 39",MADRID,28010,Espagne,ES,SGIIC,fournisseur,209,,,Tier 3,Tier 3. Registro CNMV: 209,prospect
"PANZA CAPITAL, SGIIC, S.A.",,,https://www.panza.com,"C/ SERRANO 45, PLANTA 4ª",MADRID,28001,Espagne,ES,SGIIC,fournisseur,284,,,Tier 3,Tier 3. Registro CNMV: 284,prospect
"PATRIVALOR, SGIIC, S.A.",,,https://www.patrivalor.com,"PASEO DE LA CASTELLANA, 12 - 2º D",MADRID,28046,Espagne,ES,SGIIC,fournisseur,241,,,Tier 3,Tier 3. Registro CNMV: 241,prospect
"PRISMA GLOBAL ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.prisma.com,"TELLEZ, 30, OFICINA 2-2",MADRID,28007,Espagne,ES,SGIIC,fournisseur,34,,,Tier 3,Tier 3. Registro CNMV: 34,prospect
"PROALTUS CAPITAL AM SGIIC, S.A.",,,https://www.proaltus.com,Calle Alvaro Caballero 14 planta 1-P,MADRID,28023,Espagne,ES,SGIIC,fournisseur,283,,,Tier 3,Tier 3. Registro CNMV: 283,prospect
"QUADRIGA ASSET MANAGERS, SGIIC, S.A.",,,https://www.quadriga.com,"CUESTA DEL SAGRADO CORAZON, 6-8",MADRID,28016,Espagne,ES,SGIIC,fournisseur,242,,,Tier 3,Tier 3. Registro CNMV: 242,prospect
"RENTA 4 GESTORA, S.G.I.I.C., S.A.",,,https://www.r4.com,"Pº DE LA HABANA, 74, 2º IZDA.",MADRID,28036,Espagne,ES,SGIIC,fournisseur,43,,,Tier 3,Tier 3. Registro CNMV: 43,prospect
"RIVA Y GARCIA GESTION, S.G.I.I.C., S.A.",,,https://www.riva.com,"PELAI 56, 3º 4ª",BARCELONA,08001,Espagne,ES,SGIIC,fournisseur,131,,,Tier 3,Tier 3. Registro CNMV: 131,prospect
"ROLNIK CAPITAL OWNERS, SGIIC, S.A.",,,https://www.rolnik.com,"Plaza de Alonso Martínez, 7 - 1º izquierda",MADRID,28004,Espagne,ES,SGIIC,fournisseur,227,,,Tier 3,Tier 3. Registro CNMV: 227,prospect
"SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.",,,https://www.sabadellam.com,"PASEO DE LA CASTELLANA, 1",MADRID,28046,Espagne,ES,SGIIC,fournisseur,58,,,Tier 3,Tier 3. Registro CNMV: 58,prospect
"SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.santa.com,PLAZA DE ESPAÑA 15,MADRID,28008,Espagne,ES,SGIIC,fournisseur,225,,,Tier 3,Tier 3. Registro CNMV: 225,prospect
"SANTANDER ALTERNATIVE INVESTMENTS, SGIIC, S.A.U.",,,https://www.santander.com,PASEO DE LA CASTELLANA 24,MADRID,28046,Espagne,ES,SGIIC,fournisseur,287,,,Tier 3,Tier 3. Registro CNMV: 287,prospect
"SANTANDER PRIVATE BANKING GESTIÓN, S.A., S.G.I.I.C.",,,https://www.santander.com,"C/ JUAN IGNACIO LUCA DE TENA, 9-11",MADRID,28027,Espagne,ES,SGIIC,fournisseur,60,,,Tier 3,Tier 3. Registro CNMV: 60,prospect
"SASSOLA PARTNERS, SGIIC, S.A.",,,https://www.sassola.com,"CALLE ALMAGRO Nº26, ESC IZQ, PLANTA 1ºB",MADRID,28010,Espagne,ES,SGIIC,fournisseur,271,,,Tier 3,Tier 3. Registro CNMV: 271,prospect
"SELECCION E INVERSION DE CAPITAL GLOBAL, SGIIC, S.A.",,,https://www.seleccion.com,"C/ DEL SIL 50, BAJO",MADRID,28002,Espagne,ES,SGIIC,fournisseur,292,,,Tier 3,Tier 3. Registro CNMV: 292,prospect
"SILVER ALPHA ASSET MANAGEMENT SGIIC, S.A.",,,https://www.silver.com,"AVENIDA DE CONCHA ESPINA 8, 1 IZQUIERDA",MADRID,28036,Espagne,ES,SGIIC,fournisseur,291,,,Tier 3,Tier 3. Registro CNMV: 291,prospect
"SINGULAR ASSET MANAGEMENT, SGIIC, S.A.",,,https://www.singular.com,CALLE GOYA 11,MADRID,28001,Espagne,ES,SGIIC,fournisseur,185,,,Tier 3,Tier 3. Registro CNMV: 185,prospect
"SOLVENTIS S.G.I.I.C., S.A.",,,https://www.solventis.com,"PASEO CASTELLANA 60, 4ª PLANTA DERECHA",MADRID,28046,Espagne,ES,SGIIC,fournisseur,248,,,Tier 3,Tier 3. Registro CNMV: 248,prospect
"TALENTA GESTION, SGIIC, S.A.",,,https://www.talenta.com,"PASSATGE DE LA CONCEPCIO, 7-9, PRIMER PISO",BARCELONA,08008,Espagne,ES,SGIIC,fournisseur,280,,,Tier 3,Tier 3. Registro CNMV: 280,prospect
"TESYS ACTIVOS FINANCIEROS SGIIC, SOCIEDAD LIMITADA",,,https://www.tesys.com,"Paseo de la Habana, nº 15, 3º Izq.",MADRID,28036,Espagne,ES,SGIIC,fournisseur,296,,,Tier 3,Tier 3. Registro CNMV: 296,prospect
"TREA ASSET MANAGEMENT S.G.I.I.C., S.A.",,,https://www.trea-am.com,"ORTEGA Y GASSET, 20",MADRID,28006,Espagne,ES,SGIIC,fournisseur,113,,,Tier 3,Tier 3. Registro CNMV: 113,prospect
