name,email,phone,website,address,city,postal_code,country,country_code,category,type,register_number,aum,aum_date,tier,notes,pipeline_stage
"ABANCA GESTION DE ACTIVOS, SGIIC, SA",abancagestion@abanca.com,+34 981 18 72 00,https://www.abanca.com,"C/ SERRANO 45, 3ª PLANTA",MADRID,28001,Espagne,ES,SGIIC,fournisseur,128,4.2,2024-12-31,Tier 1,Tier 1. AUM: 4.2 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 128,prospect
"GVC GAESCO GESTIÓN, SGIIC, S.A.",info@gvcgaesco.es,,https://www.gvcgaesco.es,"C./ DOCTOR FERRAN, Nº 3-5, 1ª",TARRAGONA,43001,Espagne,ES,SGIIC,fournisseur,29,3.2,2024-12-31,Tier 1,Tier 1. AUM: 3.2 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 29,prospect
"AZVALOR ASSET MANAGEMENT, SGIIC, S.A.",info@azvalor.com,+34 91 153 32 52,https://www.azvalor.com,"PASEO DE LA CASTELLANA, 110 3º",MADRID,28046,Espagne,ES,SGIIC,fournisseur,224,2.8,2024-12-31,Tier 1,Tier 1. AUM: 2.8 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 224,prospect
"AMUNDI IBERIA, SGIIC, S.A.",marketing.es@amundi.com,+34 91 353 70 00,https://www.amundi.es,"Pº DE LA CASTELLANA, 1",MADRID,28046,Espagne,ES,SGIIC,fournisseur,31,2.5,2024-12-31,Tier 1,Tier 1. AUM: 2.5 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 31,prospect
"COBAS ASSET MANAGEMENT, SGIIC, S.A.",info@cobasam.com,+34 91 398 48 05,https://www.cobasam.com,"Paseo de la Castellana, 53 2ª planta",MADRID,28046,Espagne,ES,SGIIC,fournisseur,251,2.1,2024-12-31,Tier 1,Tier 1. AUM: 2.1 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 251,prospect
"MAGALLANES VALUE INVESTORS, S.A., SGIIC",info@magallanesvalue.com,+34 91 737 23 90,https://www.magallanesvalue.com,"C/ LAGASCA, 88",MADRID,28001,Espagne,ES,SGIIC,fournisseur,239,1.5,2024-12-31,Tier 1,Tier 1. AUM: 1.5 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 239,prospect
"MEDIOLANUM GESTION, S.G.I.I.C., S.A.",info@mediolanum.es,+34 93 206 17 00,https://www.mediolanum.es,"C/ AGUSTINA SARAGOSSA, 3-5 BAJOS",BARCELONA,08017,Espagne,ES,SGIIC,fournisseur,2,1.4,2024-12-31,Tier 1,Tier 1. AUM: 1.4 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 2,prospect
"ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.",info@andbank.es,+34 93 528 06 00,https://www.andbank.es,"CALLE SERRANO, 37",MADRID,28001,Espagne,ES,SGIIC,fournisseur,237,1.2,2024-12-31,Tier 1,Tier 1. AUM: 1.2 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 237,prospect
"INVERSIS GESTIÓN, S.A., SGIIC",info@inversis.com,,https://www.inversis.com,"AVENIDA DE LA HISPANIDAD, 6",MADRID,28042,Espagne,ES,SGIIC,fournisseur,105,1.1,2024-12-31,Tier 1,Tier 1. AUM: 1.1 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 105,prospect
"GESIURIS ASSET MANAGEMENT, SGIIC, S.A.",info@gesiuris.com,+34 93 487 28 00,https://www.gesiuris.com,"Rambla de Cataluña 38, 9ª Planta",BARCELONA,08007,Espagne,ES,SGIIC,fournisseur,37,0.95,2024-12-31,Tier 2,Tier 2. AUM: 0.9 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 37,prospect
"HOROS ASSET MANAGEMENT, SGIIC, S.A.",info@horosam.com,,https://www.horosam.com,"CALLE NUÑEZ DE BALBOA 120, 2º IZQUIERDA",MADRID,28006,Espagne,ES,SGIIC,fournisseur,263,0.87,2024-12-31,Tier 2,Tier 2. AUM: 0.9 Bn€ (2024-12-31). Source: INVERCO Dec 2024. Registro CNMV: 263,prospect
"A&G FONDOS, SGIIC, SA",,,,"PASEO DE LA CASTELLANA, 92",MADRID,28046,Espagne,ES,SGIIC,fournisseur,195,,,Tier 3,Tier 3. Registro CNMV: 195,prospect
"ABACO CAPITAL, SGIIC, S.A.",,,,Paseo General Martínez Campos 47,MADRID,28010,Espagne,ES,SGIIC,fournisseur,238,,,Tier 3,Tier 3. Registro CNMV: 238,prospect
"ACACIA INVERSION, SGIIC, S.A.",,,,"GRAN VIA DE D. DIEGO LOPEZ DE HARO, 40 BIS",BILBAO,48009,Espagne,ES,SGIIC,fournisseur,234,,,Tier 3,Tier 3. Registro CNMV: 234,prospect
"ACCI CAPITAL INVESTMENTS, SGIIC, S.A.",,,,"MARQUES DE VILLAMEJOR, 5, PLANTA 1",MADRID,28006,Espagne,ES,SGIIC,fournisseur,253,,,Tier 3,Tier 3. Registro CNMV: 253,prospect
"ACTYUS PRIVATE EQUITY SGIIC, S.A.",,,,"CALLE SERRANO, 37",MADRID,28001,Espagne,ES,SGIIC,fournisseur,286,,,Tier 3,Tier 3. Registro CNMV: 286,prospect
"AFI INVERSIONES GLOBALES, SGIIC, S.A.",,,,C/ MARQUES DE VILLAMEJOR 5,MADRID,28006,Espagne,ES,SGIIC,fournisseur,274,,,Tier 3,Tier 3. Registro CNMV: 274,prospect
"ALALUZ CAPITAL, SGIIC, S.A.",,,,"VILLANUEVA, 15 1ª PLANTA",MADRID,28001,Espagne,ES,SGIIC,fournisseur,254,,,Tier 3,Tier 3. Registro CNMV: 254,prospect
"ALANTRA EQMC ASSET MANAGEMENT, SGIIC, S.A.",,,,CALLE JOSE ORTEGA Y GASSET 29,MADRID,28006,Espagne,ES,SGIIC,fournisseur,260,,,Tier 3,Tier 3. Registro CNMV: 260,prospect
"ALANTRA MULTI ASSET, SGIIC, S.A.",,,,CALLE JOSE ORTEGA Y GASSET 29,MADRID,28006,Espagne,ES,SGIIC,fournisseur,230,,,Tier 3,Tier 3. Registro CNMV: 230,prospect
"ALTAMAR PRIVATE EQUITY, S.G.I.I.C., S.A.",,,,"Pº CASTELLANA, 91",MADRID,28046,Espagne,ES,SGIIC,fournisseur,247,,,Tier 3,Tier 3. Registro CNMV: 247,prospect
"ALTAN CAPITAL, SGIIC, S.A.",,,,"Paseo de la Castellana, 91",MADRID,28046,Espagne,ES,SGIIC,fournisseur,219,,,Tier 3,Tier 3. Registro CNMV: 219,prospect
"ALTERNA INVERSIONES Y VALORES, S.G.I.I.C., S.A.",,,,"C/ MARQUÉS DE LA ENSENADA, 4 planta 2ª",MADRID,28004,Espagne,ES,SGIIC,fournisseur,282,,,Tier 3,Tier 3. Registro CNMV: 282,prospect
"ALTEX ASSET MANAGEMENT SGIIC, S.A.",,,,PASEO DE LA CASTELLANA 101 BAJO 2,MADRID,28046,Espagne,ES,SGIIC,fournisseur,215,,,Tier 3,Tier 3. Registro CNMV: 215,prospect
"AMCHOR INVESTMENT STRATEGIES, SGIIC, S.A.",,,,"CALLE VELÁZQUEZ, 166",MADRID,28002,Espagne,ES,SGIIC,fournisseur,273,,,Tier 3,Tier 3. Registro CNMV: 273,prospect
"AMISTRA, SGIIC, S.A.",,,,"LUCHANA, 6",BILBAO,48008,Espagne,ES,SGIIC,fournisseur,232,,,Tier 3,Tier 3. Registro CNMV: 232,prospect
"ANTA ASSET MANAGEMENT SGIIC, SOCIEDAD ANÓNIMA",,,,"C/ZURBANO, 46 LOCAL",MADRID,28010,Espagne,ES,SGIIC,fournisseur,288,,,Tier 3,Tier 3. Registro CNMV: 288,prospect
"ARCANO CAPITAL, SGIIC, S.A.",,,,"C/ JOSÉ ORTEGA Y GASSET, 29 - 4ª",MADRID,28006,Espagne,ES,SGIIC,fournisseur,240,,,Tier 3,Tier 3. Registro CNMV: 240,prospect
"ARQUIGEST, S.A., S.G.I.I.C.",,,,"CALLE BARQUILLO 6, PRIMERO IZQUIERDA",MADRID,28004,Espagne,ES,SGIIC,fournisseur,36,,,Tier 3,Tier 3. Registro CNMV: 36,prospect
"ATL 12 CAPITAL GESTION S.G.I.I.C, S.A.",,,,MONTALBAN 9,MADRID,28014,Espagne,ES,SGIIC,fournisseur,210,,,Tier 3,Tier 3. Registro CNMV: 210,prospect
"ATTITUDE GESTION, SGIIC, S.A.",,,,"CALLE ORENSE, 68 PLANTA 11",MADRID,28020,Espagne,ES,SGIIC,fournisseur,246,,,Tier 3,Tier 3. Registro CNMV: 246,prospect
"AUGUSTUS CAPITAL ASSET MANAGEMENT, SGIIC, S.A.",,,,"PLAZA DE ARAGÓN, 10 - 10º",ZARAGOZA,50004,Espagne,ES,SGIIC,fournisseur,270,,,Tier 3,Tier 3. Registro CNMV: 270,prospect
"AZORA GESTION, SGIIC, S.A.",,,,"C/ VILLANUEVA 2 C, ESC. 1, PLANTA. 1, PUERTA 7 A",MADRID,28001,Espagne,ES,SGIIC,fournisseur,236,,,Tier 3,Tier 3. Registro CNMV: 236,prospect
"BEKA ASSET MANAGEMENT, SGIIC, S.A.",,,,"Calle Serrano 88, planta 7ª",MADRID,28006,Espagne,ES,SGIIC,fournisseur,268,,,Tier 3,Tier 3. Registro CNMV: 268,prospect
"BESTINVER GESTION, S.A., S.G.I.I.C.",info@bestinver.es,+34 91 514 78 50,https://www.bestinver.es,"JUAN DE MENA, 8, 1º DCHA.",MADRID,28014,Espagne,ES,SGIIC,fournisseur,103,,,Tier 3,Tier 3. Registro CNMV: 103,prospect
"BRIGHTGATE CAPITAL, S.G.I.I.C., S.A.",,,,"C/ Génova, 11; 4ª planta izquierda.",MADRID,28004,Espagne,ES,SGIIC,fournisseur,226,,,Tier 3,Tier 3. Registro CNMV: 226,prospect
"BUY & HOLD CAPITAL, SGIIC, S.A.",,,,C/ CULTURA 1-1,VALENCIA,46002,Espagne,ES,SGIIC,fournisseur,256,,,Tier 3,Tier 3. Registro CNMV: 256,prospect
"CAAN ALTERNATIVE ASSET MANAGEMENT, SGIIC, S.A.",,,,"AVDA. DIAGONAL, 644",BARCELONA,08017,Espagne,ES,SGIIC,fournisseur,294,,,Tier 3,Tier 3. Registro CNMV: 294,prospect
"CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.",,,,"RAMBLA CATALUNYA, 2-4",BARCELONA,08007,Espagne,ES,SGIIC,fournisseur,193,,,Tier 3,Tier 3. Registro CNMV: 193,prospect
"CAJA LABORAL GESTION, S.G.I.I.C., S.A.",,,,"Pº JOSE Mª ARIZMENDIARRIETA, 5, 1ª",MONDRAGON,20500,Espagne,ES,SGIIC,fournisseur,161,,,Tier 3,Tier 3. Registro CNMV: 161,prospect
"CARTESIO INVERSIONES, SGIIC, S.A.",,,,"GLORIETA DE RUBÉN DARÍO 3, 5ª PLANTA",MADRID,28010,Espagne,ES,SGIIC,fournisseur,221,,,Tier 3,Tier 3. Registro CNMV: 221,prospect
"CBNK GESTION DE ACTIVOS, S.G.I.I.C., S.A.",,,,"ALMAGRO 8, PLANTA 5ª",MADRID,28010,Espagne,ES,SGIIC,fournisseur,126,,,Tier 3,Tier 3. Registro CNMV: 126,prospect
"CRESCENTA INVESTMENTS, SGIIC, S.A.",,,,"PASEO DE LA CASTELLANA NÚMERO 163, PLANTA 3ª",MADRID,28046,Espagne,ES,SGIIC,fournisseur,289,,,Tier 3,Tier 3. Registro CNMV: 289,prospect
"DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.",,,,"Pº DE LA CASTELLANA, 18",MADRID,28046,Espagne,ES,SGIIC,fournisseur,142,,,Tier 3,Tier 3. Registro CNMV: 142,prospect
"DIAGONAL ASSET MANAGEMENT SGIIC, S.A.",,,,"AVENIDA DIAGONAL, Nº 467, 2º 2",BARCELONA,08036,Espagne,ES,SGIIC,fournisseur,285,,,Tier 3,Tier 3. Registro CNMV: 285,prospect
"DUNAS CAPITAL ASSET MANAGEMENT S.G.I.I.C., S.A.",info@dunascapital.com,,https://www.dunascapital.com,"FERNANFLOR, 4, 4ª PLANTA",MADRID,28014,Espagne,ES,SGIIC,fournisseur,98,,,Tier 3,Tier 3. Registro CNMV: 98,prospect
"DUX INVERSORES, SGIIC, S.A.",,,,"PLAZA DE LA INDEPENDENCIA, 6",MADRID,28001,Espagne,ES,SGIIC,fournisseur,206,,,Tier 3,Tier 3. Registro CNMV: 206,prospect
"EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.",info@edmgestion.com,,https://www.edmgestion.com,"PASEO DE LA CASTELLANA, 78",MADRID,28046,Espagne,ES,SGIIC,fournisseur,49,,,Tier 3,Tier 3. Registro CNMV: 49,prospect
FINLETIC CAPITAL SGIIC SA.,,,,"C/ MIGUEL ANGEL 21, 6ª PLANTA",MADRID,28010,Espagne,ES,SGIIC,fournisseur,257,,,Tier 3,Tier 3. Registro CNMV: 257,prospect
"G.I.I.C. FINECO, S.A., S.G.I.I.C.",,,,"Calle Ercilla, nº 24, 2º",BILBAO,48011,Espagne,ES,SGIIC,fournisseur,132,,,Tier 3,Tier 3. Registro CNMV: 132,prospect
"GESALCALA, S.A., S.G.I.I.C.",,,,"ORTEGA Y GASSET, 7",MADRID,28006,Espagne,ES,SGIIC,fournisseur,137,,,Tier 3,Tier 3. Registro CNMV: 137,prospect
"GESBUSA, S.A., S.G.I.I.C.",,,,"ALFONSO XII, 22 PISO BAJO DERECHA",MADRID,28014,Espagne,ES,SGIIC,fournisseur,133,,,Tier 3,Tier 3. Registro CNMV: 133,prospect
"GESCONSULT, S.A., S.G.I.I.C.",,,,"Calle Serrano, número 37",MADRID,28001,Espagne,ES,SGIIC,fournisseur,57,,,Tier 3,Tier 3. Registro CNMV: 57,prospect
"GESCOOPERATIVO, S.A., S.G.I.I.C.",,,,"Paseo de Recoletos, nº 3, 3ª Planta",MADRID,28004,Espagne,ES,SGIIC,fournisseur,140,,,Tier 3,Tier 3. Registro CNMV: 140,prospect
"GESINTER, S.G.I.I.C., S.A.",,,,"ANGLI, 58",BARCELONA,08017,Espagne,ES,SGIIC,fournisseur,152,,,Tier 3,Tier 3. Registro CNMV: 152,prospect
"GESNORTE, S.A., S.G.I.I.C.",,,,"Plaza de las Cortes, número 2, 4ª planta",MADRID,28014,Espagne,ES,SGIIC,fournisseur,9,,,Tier 3,Tier 3. Registro CNMV: 9,prospect
"GESPROFIT, S.A., S.G.I.I.C.",,,,"SERRANO, 67",MADRID,28006,Espagne,ES,SGIIC,fournisseur,139,,,Tier 3,Tier 3. Registro CNMV: 139,prospect
"GINVEST ASSET MANAGEMENT, SGIIC, S.A.",,,,"CERVERI, 16, 1ª PLANTA",GIRONA,17001,Espagne,ES,SGIIC,fournisseur,261,,,Tier 3,Tier 3. Registro CNMV: 261,prospect
"GLOBAL SOCIAL IMPACT INVESTMENTS SGIIC, S.A.",,,,"Paseo de la Castellana 53, 2ª planta",MADRID,28046,Espagne,ES,SGIIC,fournisseur,279,,,Tier 3,Tier 3. Registro CNMV: 279,prospect
"GREENSIDE ASSET MANAGEMENT SGIIC, S.A.",,,,"C/ RAFAEL CALVO, 42. ESC. IZQUIERDA.1º IZQ.",MADRID,28010,Espagne,ES,SGIIC,fournisseur,278,,,Tier 3,Tier 3. Registro CNMV: 278,prospect
"GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC",,,,"CALLE MÉNDEZ ÁLVARO, Nº31",MADRID,28045,Espagne,ES,SGIIC,fournisseur,45,,,Tier 3,Tier 3. Registro CNMV: 45,prospect
"HAMCO AM, SGIIC, S.A.",,,,"Paseo de la Castellana 141, 19ª Planta",MADRID,28046,Espagne,ES,SGIIC,fournisseur,293,,,Tier 3,Tier 3. Registro CNMV: 293,prospect
"IMPACT BRIDGE ASSET MANAGEMENT SGIIC, S.A.",,,,"CALLE VIRGEN MARÍA, 5, ESC. 3 - 2A",MADRID,28007,Espagne,ES,SGIIC,fournisseur,281,,,Tier 3,Tier 3. Registro CNMV: 281,prospect
"INTERMONEY GESTION, S.G.I.I.C., S.A.",,,,"C/ PRINCIPE DE VERGARA, 131, PLANTA 3ª",MADRID,28002,Espagne,ES,SGIIC,fournisseur,69,,,Tier 3,Tier 3. Registro CNMV: 69,prospect
"JULIUS BAER GESTION, SGIIC, S.A.",,,,"PASEO DE LA CASTELLANA, 7 PLANTA 2ª",MADRID,28046,Espagne,ES,SGIIC,fournisseur,229,,,Tier 3,Tier 3. Registro CNMV: 229,prospect
"LORETO INVERSIONES, SGIIC, SA",,,,"PASEO DE LA CASTELLANA, Nº 40, 5ª PLANTA",MADRID,28046,Espagne,ES,SGIIC,fournisseur,264,,,Tier 3,Tier 3. Registro CNMV: 264,prospect
"MACROFLOW PARTNERS SGIIC, S.L.",,,,"CALLE JOSÉ LÁZARO GALDIANO, 4. PLANTA 7ª - Dcha.",MADRID,28036,Espagne,ES,SGIIC,fournisseur,295,,,Tier 3,Tier 3. Registro CNMV: 295,prospect
"MARCH ASSET MANAGEMENT, S.G.I.I.C., S.A.U.",,,,"C/ CASTELLÓ, 74",MADRID,28006,Espagne,ES,SGIIC,fournisseur,190,,,Tier 3,Tier 3. Registro CNMV: 190,prospect
"MARKET PORTFOLIO ASSET MANAGEMENT, S.G.I.I.C., S.A.",,,,"CALLE ALMAGRO, 26. ENTREPLANTA IZQUIERDA",MADRID,28010,Espagne,ES,SGIIC,fournisseur,269,,,Tier 3,Tier 3. Registro CNMV: 269,prospect
"MDEF GESTEFIN, S.A.U., SGIIC (SOCIEDAD UNIPERSONAL)",,,,"SERRANO, 1, 3º DERECHA",MADRID,28001,Espagne,ES,SGIIC,fournisseur,46,,,Tier 3,Tier 3. Registro CNMV: 46,prospect
"METAGESTION, S.A., SGIIC",,,,"Calle Orense, número 20, planta 1ª, oficina 13",MADRID,28020,Espagne,ES,SGIIC,fournisseur,40,,,Tier 3,Tier 3. Registro CNMV: 40,prospect
"MIRALTA ASSET MANAGEMENT SGIIC, SAU",,,,"PZA DE MANUEL GOMEZ MORENO, 2 E. PUERTA 1, 2A PLANTA",MADRID,28020,Espagne,ES,SGIIC,fournisseur,252,,,Tier 3,Tier 3. Registro CNMV: 252,prospect
"MUZA GESTIÓN DE ACTIVOS, SGIIC, S.A.",,,,"CASTELLÓ, 128 9º",MADRID,28006,Espagne,ES,SGIIC,fournisseur,265,,,Tier 3,Tier 3. Registro CNMV: 265,prospect
"NAO ASSET MANAGEMENT, E.S.G. SGIIC, S.A.",,,,"Plaza del Ayuntamiento núm. 27, 7ª planta",VALENCIA,46002,Espagne,ES,SGIIC,fournisseur,267,,,Tier 3,Tier 3. Registro CNMV: 267,prospect
"OLEA GESTION DE ACTIVOS, SGIIC, S.A.",,,,C/ VELAZQUEZ 76 - 1º DERECHA,MADRID,28001,Espagne,ES,SGIIC,fournisseur,277,,,Tier 3,Tier 3. Registro CNMV: 277,prospect
"OMEGA GESTION DE INVERSIONES, SGIIC, S.A.",,,,PS. DE LA CASTELLANA 28,MADRID,28046,Espagne,ES,SGIIC,fournisseur,220,,,Tier 3,Tier 3. Registro CNMV: 220,prospect
"PACTIO GESTION, SGIIC, S.A.",,,,"RAFAEL CALVO, 39",MADRID,28010,Espagne,ES,SGIIC,fournisseur,209,,,Tier 3,Tier 3. Registro CNMV: 209,prospect
"PANZA CAPITAL, SGIIC, S.A.",,,,"C/ SERRANO 45, PLANTA 4ª",MADRID,28001,Espagne,ES,SGIIC,fournisseur,284,,,Tier 3,Tier 3. Registro CNMV: 284,prospect
"PATRIVALOR, SGIIC, S.A.",,,,"PASEO DE LA CASTELLANA, 12 - 2º D",MADRID,28046,Espagne,ES,SGIIC,fournisseur,241,,,Tier 3,Tier 3. Registro CNMV: 241,prospect
"PRISMA GLOBAL ASSET MANAGEMENT, SGIIC, S.A.",,,,"TELLEZ, 30, OFICINA 2-2",MADRID,28007,Espagne,ES,SGIIC,fournisseur,34,,,Tier 3,Tier 3. Registro CNMV: 34,prospect
"PROALTUS CAPITAL AM SGIIC, S.A.",,,,Calle Alvaro Caballero 14 planta 1-P,MADRID,28023,Espagne,ES,SGIIC,fournisseur,283,,,Tier 3,Tier 3. Registro CNMV: 283,prospect
"QUADRIGA ASSET MANAGERS, SGIIC, S.A.",,,,"CUESTA DEL SAGRADO CORAZON, 6-8",MADRID,28016,Espagne,ES,SGIIC,fournisseur,242,,,Tier 3,Tier 3. Registro CNMV: 242,prospect
"RENTA 4 GESTORA, S.G.I.I.C., S.A.",r4@renta4.es,+34 91 398 48 05,https://www.r4.com,"Pº DE LA HABANA, 74, 2º IZDA.",MADRID,28036,Espagne,ES,SGIIC,fournisseur,43,,,Tier 3,Tier 3. Registro CNMV: 43,prospect
"RIVA Y GARCIA GESTION, S.G.I.I.C., S.A.",,,,"PELAI 56, 3º 4ª",BARCELONA,08001,Espagne,ES,SGIIC,fournisseur,131,,,Tier 3,Tier 3. Registro CNMV: 131,prospect
"ROLNIK CAPITAL OWNERS, SGIIC, S.A.",,,,"Plaza de Alonso Martínez, 7 - 1º izquierda",MADRID,28004,Espagne,ES,SGIIC,fournisseur,227,,,Tier 3,Tier 3. Registro CNMV: 227,prospect
"SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.",sabadellاm@bancsabadell.com,+34 93 728 81 00,https://www.sabadellam.com,"PASEO DE LA CASTELLANA, 1",MADRID,28046,Espagne,ES,SGIIC,fournisseur,58,,,Tier 3,Tier 3. Registro CNMV: 58,prospect
"SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.",,,,PLAZA DE ESPAÑA 15,MADRID,28008,Espagne,ES,SGIIC,fournisseur,225,,,Tier 3,Tier 3. Registro CNMV: 225,prospect
"SANTANDER ALTERNATIVE INVESTMENTS, SGIIC, S.A.U.",info@santanderassetmanagement.com,,https://www.santanderassetmanagement.com,PASEO DE LA CASTELLANA 24,MADRID,28046,Espagne,ES,SGIIC,fournisseur,287,,,Tier 3,Tier 3. Registro CNMV: 287,prospect
"SANTANDER PRIVATE BANKING GESTIÓN, S.A., S.G.I.I.C.",info@santanderassetmanagement.com,,https://www.santanderassetmanagement.com,"C/ JUAN IGNACIO LUCA DE TENA, 9-11",MADRID,28027,Espagne,ES,SGIIC,fournisseur,60,,,Tier 3,Tier 3. Registro CNMV: 60,prospect
"SASSOLA PARTNERS, SGIIC, S.A.",,,,"CALLE ALMAGRO Nº26, ESC IZQ, PLANTA 1ºB",MADRID,28010,Espagne,ES,SGIIC,fournisseur,271,,,Tier 3,Tier 3. Registro CNMV: 271,prospect
"SELECCION E INVERSION DE CAPITAL GLOBAL, SGIIC, S.A.",,,,"C/ DEL SIL 50, BAJO",MADRID,28002,Espagne,ES,SGIIC,fournisseur,292,,,Tier 3,Tier 3. Registro CNMV: 292,prospect
"SILVER ALPHA ASSET MANAGEMENT SGIIC, S.A.",,,,"AVENIDA DE CONCHA ESPINA 8, 1 IZQUIERDA",MADRID,28036,Espagne,ES,SGIIC,fournisseur,291,,,Tier 3,Tier 3. Registro CNMV: 291,prospect
"SINGULAR ASSET MANAGEMENT, SGIIC, S.A.",,,,CALLE GOYA 11,MADRID,28001,Espagne,ES,SGIIC,fournisseur,185,,,Tier 3,Tier 3. Registro CNMV: 185,prospect
"SOLVENTIS S.G.I.I.C., S.A.",,,,"PASEO CASTELLANA 60, 4ª PLANTA DERECHA",MADRID,28046,Espagne,ES,SGIIC,fournisseur,248,,,Tier 3,Tier 3. Registro CNMV: 248,prospect
"TALENTA GESTION, SGIIC, S.A.",,,,"PASSATGE DE LA CONCEPCIO, 7-9, PRIMER PISO",BARCELONA,08008,Espagne,ES,SGIIC,fournisseur,280,,,Tier 3,Tier 3. Registro CNMV: 280,prospect
